pixel,mlat,mlon,area_km,Mn.Avg.Dens,Mn.CV.Dens
1806,30.9,239.1,105.9937478,5.59E-05,0.273187875
1807,30.9,239.2,105.9937478,4.84E-05,0.281173043
1808,30.9,239.3,105.9937478,4.19E-05,0.289868699
1809,30.9,239.4,105.9937478,4.05E-05,0.292088684
1810,30.9,239.5,105.9937478,3.75E-05,0.289975005
1811,30.9,239.6,105.9937478,3.91E-05,0.287241645
1812,30.9,239.7,105.9937478,3.69E-05,0.288755919
1813,30.9,239.8,105.9937478,3.80E-05,0.290657171
1814,30.9,239.9,105.9937478,3.37E-05,0.290492586
1815,30.9,240,105.9937478,3.55E-05,0.288544893
1816,30.9,240.1,105.9937478,3.54E-05,0.289274685
1817,30.9,240.2,105.9937478,3.95E-05,0.289316278
1818,30.9,240.3,105.9937478,4.38E-05,0.291053014
1819,30.9,240.4,105.9937478,5.46E-05,0.296305333
1820,30.9,240.5,105.9937478,6.72E-05,0.298691312
1953,31,235.2,105.8850562,3.30E-09,0.283245771
1954,31,235.3,105.8850562,6.80E-09,0.278167636
1955,31,235.4,105.8850562,1.52E-08,0.272282844
1956,31,235.5,105.8850562,2.75E-08,0.267706656
1957,31,235.6,105.8850562,5.27E-08,0.263041339
1958,31,235.7,105.8850562,1.01E-07,0.257897396
1959,31,235.8,105.8850562,2.02E-07,0.251530576
1960,31,235.9,105.8850562,3.68E-07,0.246874767
1961,31,236,105.8850562,7.45E-07,0.247950884
1962,31,236.1,105.8850562,1.29E-06,0.250788814
1963,31,236.2,105.8850562,2.39E-06,0.254059851
1964,31,236.3,105.8850562,3.96E-06,0.25573066
1965,31,236.4,105.8850562,6.75E-06,0.255761317
1966,31,236.5,105.8850562,1.12E-05,0.262379184
1967,31,236.6,105.8850562,1.60E-05,0.26396713
1968,31,236.7,105.8850562,2.51E-05,0.262657899
1969,31,236.8,105.8850562,4.00E-05,0.263193278
1970,31,236.9,105.8850562,5.94E-05,0.264588718
1971,31,237,105.8850562,7.31E-05,0.263206971
1972,31,237.1,105.8850562,9.75E-05,0.262468473
1973,31,237.2,105.8850562,0.000113542,0.262704235
1974,31,237.3,105.8850562,0.00015688,0.265164556
1975,31,237.4,105.8850562,0.000181938,0.265281016
1976,31,237.5,105.8850562,0.000193154,0.270578595
1977,31,237.6,105.8850562,0.00020115,0.281229152
1978,31,237.7,105.8850562,0.000226181,0.294988026
1979,31,237.8,105.8850562,0.000241669,0.297661527
1980,31,237.9,105.8850562,0.000247229,0.297416645
1981,31,238,105.8850562,0.000239141,0.296581906
1982,31,238.1,105.8850562,0.000221362,0.293071916
1983,31,238.2,105.8850562,0.000209964,0.289551587
1984,31,238.3,105.8850562,0.000188588,0.284927382
1985,31,238.4,105.8850562,0.000170295,0.276457818
1986,31,238.5,105.8850562,0.0001525,0.265681936
1987,31,238.6,105.8850562,0.000122268,0.260656857
1988,31,238.7,105.8850562,0.000105916,0.264482769
1989,31,238.8,105.8850562,9.38E-05,0.267536948
1990,31,238.9,105.8850562,8.37E-05,0.275066504
1991,31,239,105.8850562,7.64E-05,0.279085244
1992,31,239.1,105.8850562,6.59E-05,0.284835263
1993,31,239.2,105.8850562,5.76E-05,0.290696061
1994,31,239.3,105.8850562,4.94E-05,0.295655074
1995,31,239.4,105.8850562,4.67E-05,0.297309568
1996,31,239.5,105.8850562,4.56E-05,0.29535221
1997,31,239.6,105.8850562,4.41E-05,0.288436407
1998,31,239.7,105.8850562,4.47E-05,0.284769418
1999,31,239.8,105.8850562,4.39E-05,0.284927778
2000,31,239.9,105.8850562,4.13E-05,0.283224904
2001,31,240,105.8850562,3.82E-05,0.280417453
2002,31,240.1,105.8850562,4.37E-05,0.281360148
2003,31,240.2,105.8850562,4.67E-05,0.283925644
2004,31,240.3,105.8850562,4.35E-05,0.288573797
2005,31,240.4,105.8850562,5.35E-05,0.295443463
2006,31,240.5,105.8850562,6.53E-05,0.299837539
2007,31,240.6,105.8850562,8.84E-05,0.301578679
2008,31,240.7,105.8850562,0.00011252,0.295937738
2009,31,240.8,105.8850562,0.000143304,0.29129147
2010,31,240.9,105.8850562,0.000186182,0.289690887
2011,31,241,105.8850562,0.00026041,0.29346727
2138,31.1,235.1,105.7760415,2.73E-09,0.279830098
2139,31.1,235.2,105.7760415,5.08E-09,0.272976598
2140,31.1,235.3,105.7760415,9.75E-09,0.270390049
2141,31.1,235.4,105.7760415,1.84E-08,0.269659985
2142,31.1,235.5,105.7760415,3.02E-08,0.267750612
2143,31.1,235.6,105.7760415,7.11E-08,0.265321478
2144,31.1,235.7,105.7760415,1.30E-07,0.26186289
2145,31.1,235.8,105.7760415,2.56E-07,0.255699327
2146,31.1,235.9,105.7760415,4.51E-07,0.252415553
2147,31.1,236,105.7760415,8.55E-07,0.251882225
2148,31.1,236.1,105.7760415,1.52E-06,0.254814045
2149,31.1,236.2,105.7760415,2.64E-06,0.257119424
2150,31.1,236.3,105.7760415,4.47E-06,0.257025647
2151,31.1,236.4,105.7760415,7.81E-06,0.258652788
2152,31.1,236.5,105.7760415,1.23E-05,0.26359768
2153,31.1,236.6,105.7760415,1.86E-05,0.264507852
2154,31.1,236.7,105.7760415,2.64E-05,0.263185064
2155,31.1,236.8,105.7760415,3.95E-05,0.265026181
2156,31.1,236.9,105.7760415,5.64E-05,0.268348594
2157,31.1,237,105.7760415,7.50E-05,0.270908835
2158,31.1,237.1,105.7760415,8.97E-05,0.270846277
2159,31.1,237.2,105.7760415,0.000109395,0.270957224
2160,31.1,237.3,105.7760415,0.000144415,0.270967864
2161,31.1,237.4,105.7760415,0.000183965,0.270260119
2162,31.1,237.5,105.7760415,0.000201886,0.271158681
2163,31.1,237.6,105.7760415,0.000220717,0.278443131
2164,31.1,237.7,105.7760415,0.000247344,0.297829307
2165,31.1,237.8,105.7760415,0.000248734,0.296214282
2166,31.1,237.9,105.7760415,0.000230815,0.297380391
2167,31.1,238,105.7760415,0.000225598,0.299012801
2168,31.1,238.1,105.7760415,0.000223985,0.297476734
2169,31.1,238.2,105.7760415,0.000206876,0.297737752
2170,31.1,238.3,105.7760415,0.000179759,0.294766494
2171,31.1,238.4,105.7760415,0.000175837,0.292532617
2172,31.1,238.5,105.7760415,0.000157662,0.286127066
2173,31.1,238.6,105.7760415,0.000130725,0.282173168
2174,31.1,238.7,105.7760415,0.000109135,0.282543687
2175,31.1,238.8,105.7760415,0.000105079,0.284368924
2176,31.1,238.9,105.7760415,9.22E-05,0.289761197
2177,31.1,239,105.7760415,8.33E-05,0.29541515
2178,31.1,239.1,105.7760415,7.61E-05,0.300093579
2179,31.1,239.2,105.7760415,6.55E-05,0.302311138
2180,31.1,239.3,105.7760415,5.87E-05,0.302581474
2181,31.1,239.4,105.7760415,5.56E-05,0.302786029
2182,31.1,239.5,105.7760415,5.34E-05,0.299003833
2183,31.1,239.6,105.7760415,4.96E-05,0.291868457
2184,31.1,239.7,105.7760415,5.57E-05,0.284258861
2185,31.1,239.8,105.7760415,5.28E-05,0.28133446
2186,31.1,239.9,105.7760415,4.84E-05,0.279002805
2187,31.1,240,105.7760415,4.87E-05,0.278266125
2188,31.1,240.1,105.7760415,5.19E-05,0.279666958
2189,31.1,240.2,105.7760415,5.52E-05,0.281839975
2190,31.1,240.3,105.7760415,5.89E-05,0.28822958
2191,31.1,240.4,105.7760415,6.24E-05,0.29447574
2192,31.1,240.5,105.7760415,7.49E-05,0.300536004
2193,31.1,240.6,105.7760415,0.00010034,0.305013145
2194,31.1,240.7,105.7760415,0.000123874,0.304069781
2195,31.1,240.8,105.7760415,0.000141098,0.302601408
2196,31.1,240.9,105.7760415,0.000200478,0.30428698
2197,31.1,241,105.7760415,0.000243941,0.3084484
2198,31.1,241.1,105.7760415,0.000262802,0.315731702
2199,31.1,241.2,105.7760415,0.000359728,0.320599117
2200,31.1,241.3,105.7760415,0.000539327,0.322559938
2201,31.1,241.4,105.7760415,0.000777954,0.324903417
2323,31.2,235,105.6667042,1.89E-09,0.269183542
2324,31.2,235.1,105.6667042,3.27E-09,0.268636111
2325,31.2,235.2,105.6667042,7.62E-09,0.268902339
2326,31.2,235.3,105.6667042,1.39E-08,0.26998667
2327,31.2,235.4,105.6667042,2.42E-08,0.270712594
2328,31.2,235.5,105.6667042,4.37E-08,0.268367121
2329,31.2,235.6,105.6667042,9.14E-08,0.264067642
2330,31.2,235.7,105.6667042,1.71E-07,0.264199315
2331,31.2,235.8,105.6667042,3.26E-07,0.261909792
2332,31.2,235.9,105.6667042,5.80E-07,0.259577108
2333,31.2,236,105.6667042,9.83E-07,0.258968278
2334,31.2,236.1,105.6667042,1.80E-06,0.260580342
2335,31.2,236.2,105.6667042,3.01E-06,0.259437878
2336,31.2,236.3,105.6667042,4.93E-06,0.257932226
2337,31.2,236.4,105.6667042,8.15E-06,0.257932624
2338,31.2,236.5,105.6667042,1.26E-05,0.260358171
2339,31.2,236.6,105.6667042,1.93E-05,0.261858244
2340,31.2,236.7,105.6667042,2.77E-05,0.262147059
2341,31.2,236.8,105.6667042,3.87E-05,0.264822742
2342,31.2,236.9,105.6667042,5.35E-05,0.267598669
2343,31.2,237,105.6667042,7.18E-05,0.275069211
2344,31.2,237.1,105.6667042,9.17E-05,0.277827741
2345,31.2,237.2,105.6667042,0.000113473,0.278934304
2346,31.2,237.3,105.6667042,0.000139397,0.277642079
2347,31.2,237.4,105.6667042,0.000149649,0.276621621
2348,31.2,237.5,105.6667042,0.000198799,0.277319564
2349,31.2,237.6,105.6667042,0.000220145,0.284267179
2350,31.2,237.7,105.6667042,0.000184059,0.289998955
2351,31.2,237.8,105.6667042,0.000163885,0.288038747
2352,31.2,237.9,105.6667042,0.00017204,0.297359582
2353,31.2,238,105.6667042,0.000143706,0.302668301
2354,31.2,238.1,105.6667042,0.000223071,0.304137069
2355,31.2,238.2,105.6667042,0.000206764,0.304209534
2356,31.2,238.3,105.6667042,0.000184359,0.307583014
2357,31.2,238.4,105.6667042,0.000174087,0.311562894
2358,31.2,238.5,105.6667042,0.000154958,0.308700532
2359,31.2,238.6,105.6667042,0.000131907,0.304044331
2360,31.2,238.7,105.6667042,0.000117548,0.299777711
