"area_m2","X","Y","Nhat","CV"
1328246.73299146,1084342.14397166,405619.49273949,0.200962921520279,0.802619256928137
3988022.94031195,1088561.79272098,592335.00673317,0.098331088184855,0.678120239578013
19644526.7113037,1087123.11330236,589010.83724629,0.514696956758543,0.667166285228091
4158448.19008284,1085728.87282349,583984.37206221,0.117337944183446,0.650342417961169
12377260.463585,1087301.17096053,578253.10996021,0.353774510570857,0.625359099245674
5547158.30344399,1088863.84896174,574563.88120866,0.157866158896697,0.608630643410964
16234852.5511724,1087631.19468155,568805.38675169,0.498437808055207,0.592022196538637
17866476.5999847,1086847.07036862,564371.05605804,0.579288699214482,0.58048362512588
5340170.19044789,1087705.76800935,559543.47952478,0.176780582532062,0.564774828602727
11209141.8692011,1086338.42462166,553125.78033657,0.403723667847962,0.55342015797762
21570555.1161552,1087212.23803634,549114.79813921,0.787917765146257,0.542095862025776
